Code,Location,Area,Price,Image,Link
P00232,กรรมสิทธิ์ห้องชุดเลขที่ 6/17 ชั้น 3 ซอยลาดพร้าว 27  อาคารชุดเอเบิลส์ คอนโดลาดพร้าว 27 แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร,0000-0-00.0 / 44.97 ตร.ม.,"3,067,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2154_20200108164017.jpg,https://www.ttbbank.com/property/property/detail/P00232
P00228,775/117 หมู่บ้านเมดิโอ้ นิมิตใหม่ ถ.นิมิตใหม่ แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร,0000-0-22.5 / 22.5 ตร.ว.,"3,135,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3836_20220605085936.jpg,https://www.ttbbank.com/property/property/detail/P00228
P00360,ห้องชุดเลขที่ 402/40 ชั้น 3 โครงการเจ.ดับบลิว.บูเลอวาร์ด ถนนศรีวรา แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร,0000-0-00.0 / 58.03 ตร.ม.,"3,193,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3057_20210621171638.jpg,https://www.ttbbank.com/property/property/detail/P00360
P00358,ห้องชุดเลขที่ 6/93 ชั้น 4 อาคารD โครงการไอคอนโด สุขุมวิท 103 ถนนอุดมสุข ซอย 58 แขวงบางนา เขตบางนา กรุงเทพมหานคร,0000-0-00.0 / 48.99 ตร.ม.,"3,233,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3015_20210617121946.jpg,https://www.ttbbank.com/property/property/detail/P00358
P00078,9/37 หมู่บ้านเดอสยาม สวนหลวง ร.9 ซอยเฉลิมพระเกียรติร.9 ซอย38 ถนนเฉลิมพระเกียรติ ร.9 แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร,0000-0-27.1 / 27.1 ตร.ว.,"3,250,000บาท",https://media.tmbbank.com/uploads/npa/product/img/475_20201216122403.jpg,https://www.ttbbank.com/property/property/detail/P00078
P00206,43/359 หมู่บ้านทวีทอง 110 ซอยเพชรเกษม 110  ถนนเพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร,0000-0-35.9 / 35.9 ตร.ว.,"3,300,000บาท",https://media.tmbbank.com/uploads/npa/product/img/1824_20191217155917.jpg,https://www.ttbbank.com/property/property/detail/P00206
P00251,34/192 หมู่บ้านเดอะคอนเนค 27 ถนนเฉลิมพระเกียรติ ร.9 ซอยเฉลิมพระเกียรติ ร.9 ซอย67 แขวงประเวศ เขตประเวศ กรุงเทพมหานคร,0000-0-21.0 / 21 ตร.ว.,"3,300,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3839_20220604120714.jpg,https://www.ttbbank.com/property/property/detail/P00251
P00451,3/28 หมู่บ้านสรัญธร ซอยพุทธบูชา 36 ถนนพุทธบูชา แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร,0000-0-21.3 / 21.3 ตร.ว.,"3,300,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3301_20210621102937.jpg,https://www.ttbbank.com/property/property/detail/P00451
P00330,ห้องชุดเลขที่ 299/230 ชั้น 24 อาคารชุด รึธึม อโศก  ถนนอโศก-ดินแดง แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร,0000-0-00.0 / 22.07 ตร.ม.,"3,399,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3816_20220510140457.jpg,https://www.ttbbank.com/property/property/detail/P00330
B12231,236/9 หมู่บ้านวิเศษสุข 14 ซอยประชาอุทิศ 92 ถนนประชาอุทิศ แขวงทุ่งครุ เขตราษฎร์บูรณะ กรุงเทพมหานคร,0000-0-53.9 / 53.9 ตร.ว.,"3,400,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3783_20220513112955.jpg,https://www.ttbbank.com/property/property/detail/B12231
